# N jobs:
30
# M tools:
60
# K slots:
10

List of jobs:
45
24, 3, 35, 57, 4
27, 12, 18, 8, 24, 37, 33
58, 26, 44
26, 8, 51, 5, 3, 1, 49
18, 24, 21, 51, 37
40, 16, 39, 30, 55, 34
41
25, 27, 52, 54
46, 2, 8, 54, 49, 38, 10
11, 44, 13, 0, 8, 57, 54
58, 42, 53, 3, 29, 56, 25, 36
36, 50, 5, 22, 7, 2
19
57, 16
34, 32, 3
27, 3
47, 29, 51, 12, 5, 34, 57
12, 43, 4, 21, 40
38, 36, 43, 33, 13
46, 55, 10, 39, 14, 4
16, 46, 44, 27, 17
32, 46, 47, 42, 34, 2, 50, 30, 25, 31
50, 53, 28, 10, 34, 30, 26, 35, 25
21, 29, 32, 13, 11, 6, 34, 35, 10
33, 39, 36, 52, 10, 25, 58, 44, 29
15
38, 22, 48, 2, 18, 37, 52, 36, 49, 26
24, 12, 43, 28, 38, 5, 52
11, 12, 44, 4, 58, 51, 34

Setup costs:
0, 4, 2, 4, 2, 5, 3, 4, 3, 3, 5, 3, 5, 6, 2, 4, 3, 6, 4, 5, 4, 4, 5, 2, 4, 5, 6, 6, 5, 4, 4, 3, 5, 1, 5, 5, 4, 1, 5, 4, 3, 4, 5, 2, 4, 5, 4, 4, 4, 5, 3, 4, 5, 3, 6, 5, 2, 4, 5, 5
4, 0, 6, 4, 5, 5, 7, 5, 4, 2, 4, 5, 4, 4, 4, 5, 4, 5, 4, 3, 4, 4, 2, 4, 3, 5, 4, 5, 4, 3, 4, 5, 4, 5, 1, 5, 4, 5, 5, 4, 5, 3, 5, 4, 4, 3, 3, 4, 2, 3, 5, 4, 3, 5, 2, 5, 3, 4, 3, 1
5, 4, 0, 3, 4, 4, 1, 4, 2, 4, 4, 1, 3, 4, 3, 3, 4, 4, 3, 3, 5, 3, 3, 3, 5, 5, 5, 7, 3, 5, 4, 4, 3, 5, 4, 3, 2, 4, 4, 2, 4, 2, 6, 4, 3, 4, 3, 4, 5, 3, 3, 4, 4, 4, 4, 5, 4, 3, 4, 4
5, 5, 3, 0, 4, 5, 4, 5, 4, 4, 5, 4, 3, 5, 3, 5, 4, 2, 3, 3, 5, 5, 6, 3, 4, 6, 6, 8, 5, 5, 5, 4, 3, 2, 4, 5, 5, 2, 6, 4, 4, 4, 5, 6, 2, 4, 5, 5, 5, 4, 4, 4, 3, 1, 4, 3, 3, 5, 6, 2
2, 4, 4, 4, 0, 6, 5, 5, 4, 2, 5, 5, 6, 6, 4, 6, 5, 6, 4, 6, 5, 5, 4, 4, 4, 5, 6, 4, 5, 3, 6, 5, 5, 3, 5, 7, 6, 3, 7, 6, 5, 5, 6, 4, 5, 4, 3, 6, 6, 5, 5, 5, 4, 2, 6, 5, 4, 6, 7, 5
3, 4, 3, 3, 2, 0, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 5, 4, 3, 5, 4, 1, 3, 2, 4, 1, 2, 5, 3, 3, 2, 3, 3, 4, 2, 3, 4, 4, 2, 5, 4, 4, 4, 5, 5, 2, 2, 2, 3, 3, 3, 4, 4, 4, 3, 5, 3, 1, 4, 3
5, 4, 5, 4, 4, 5, 0, 5, 6, 5, 4, 5, 2, 6, 3, 6, 7, 6, 4, 7, 7, 3, 6, 3, 5, 5, 6, 6, 5, 4, 4, 3, 5, 6, 4, 5, 5, 3, 4, 6, 4, 2, 6, 7, 6, 4, 6, 3, 5, 5, 6, 7, 6, 4, 5, 5, 5, 3, 6, 3
3, 2, 4, 4, 3, 5, 5, 0, 4, 2, 4, 2, 4, 4, 3, 4, 5, 3, 1, 4, 5, 4, 4, 2, 3, 4, 5, 4, 4, 3, 3, 2, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 5, 3, 5, 4, 3, 3, 1, 4, 3, 3, 5, 5, 3, 4, 4, 2, 2, 3
5, 2, 4, 1, 5, 5, 5, 6, 0, 4, 5, 5, 4, 6, 4, 4, 3, 3, 4, 4, 5, 4, 4, 4, 4, 6, 6, 7, 6, 5, 6, 5, 3, 3, 3, 4, 5, 3, 3, 3, 5, 5, 6, 5, 1, 5, 4, 6, 4, 5, 4, 4, 4, 2, 4, 4, 4, 5, 5, 3
3, 2, 5, 2, 3, 4, 6, 4, 2, 0, 3, 3, 4, 4, 2, 4, 5, 4, 2, 5, 3, 3, 2, 4, 2, 3, 4, 6, 3, 1, 4, 3, 3, 4, 3, 5, 4, 4, 5, 4, 3, 3, 5, 4, 3, 2, 1, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 5, 5, 3
4, 2, 4, 3, 3, 1, 5, 1, 3, 3, 0, 3, 4, 5, 4, 3, 6, 3, 2, 4, 5, 2, 4, 3, 4, 2, 3, 5, 4, 4, 3, 1, 4, 4, 3, 3, 3, 5, 2, 4, 5, 4, 5, 4, 4, 3, 3, 2, 2, 4, 2, 3, 5, 4, 4, 3, 2, 2, 3, 3
4, 4, 5, 3, 3, 3, 6, 3, 3, 3, 3, 0, 3, 3, 2, 2, 3, 3, 2, 2, 4, 2, 3, 2, 4, 4, 4, 7, 2, 4, 3, 3, 2, 4, 3, 2, 1, 3, 3, 1, 3, 1, 5, 3, 4, 3, 2, 4, 4, 2, 2, 3, 4, 4, 3, 4, 3, 2, 3, 4
4, 5, 5, 2, 5, 5, 6, 6, 4, 3, 5, 6, 0, 7, 4, 6, 5, 4, 5, 5, 6, 4, 5, 4, 5, 6, 6, 9, 5, 4, 5, 5, 5, 4, 5, 7, 6, 1, 7, 6, 4, 3, 6, 6, 4, 5, 4, 6, 6, 6, 5, 5, 4, 2, 4, 5, 3, 6, 7, 1
4, 4, 5, 4, 5, 5, 5, 4, 4, 3, 4, 3, 2, 0, 2, 3, 5, 1, 2, 2, 4, 5, 3, 5, 3, 5, 5, 4, 5, 4, 4, 3, 2, 4, 3, 5, 4, 3, 6, 4, 2, 4, 6, 4, 4, 4, 4, 4, 5, 3, 4, 5, 4, 4, 3, 2, 5, 5, 6, 2
