# N jobs:
10
# M tools:
30
# K slots:
10

List of jobs:
10, 2, 28, 11, 14, 7, 21, 1, 22, 5
5, 15, 0, 9
19, 17, 25, 7
25, 28, 23, 13, 21
24, 28, 25, 1, 6, 19, 2, 3, 9
27
3, 7, 4, 26
23, 14, 7, 17, 10, 22, 11, 28
11, 10, 24, 7, 6
4, 18, 23

Setup costs:
0, 6, 5, 8, 2, 6, 5, 5, 6, 7, 8, 8, 7, 5, 9, 5, 7, 8, 12, 10, 9, 6, 6, 7, 7, 3, 4, 5, 5, 4
6, 0, 3, 8, 8, 8, 6, 5, 6, 5, 11, 9, 8, 9, 12, 7, 10, 9, 9, 10, 8, 7, 7, 5, 10, 9, 10, 8, 9, 7
3, 5, 0, 5, 5, 7, 7, 8, 3, 2, 10, 7, 7, 7, 9, 4, 8, 8, 9, 10, 9, 6, 6, 4, 9, 6, 7, 6, 8, 4
5, 5, 7, 0, 6, 7, 6, 6, 3, 4, 8, 7, 7, 6, 6, 4, 9, 7, 9, 5, 6, 6, 6, 4, 8, 7, 5, 5, 6, 8
3, 4, 3, 8, 0, 4, 4, 7, 6, 5, 6, 7, 6, 3, 7, 4, 6, 7, 10, 9, 7, 5, 5, 5, 7, 1, 7, 8, 5, 2
6, 2, 5, 9, 3, 0, 4, 6, 7, 7, 7, 6, 8, 2, 8, 6, 6, 5, 9, 5, 7, 3, 7, 1, 4, 4, 5, 6, 4, 5
6, 6, 6, 11, 3, 7, 0, 8, 9, 8, 8, 8, 8, 6, 8, 5, 7, 9, 13, 12, 10, 3, 7, 8, 10, 4, 9, 9, 8, 5
3, 3, 5, 3, 5, 5, 5, 0, 1, 2, 8, 5, 5, 4, 9, 2, 7, 6, 9, 5, 8, 4, 4, 2, 7, 6, 7, 3, 6, 7
2, 2, 4, 2, 4, 4, 4, 7, 0, 1, 7, 4, 4, 4, 8, 1, 6, 5, 10, 7, 7, 3, 3, 1, 6, 5, 6, 3, 5, 6
1, 3, 5, 3, 3, 5, 5, 6, 1, 0, 8, 5, 5, 5, 7, 2, 7, 6, 11, 8, 8, 4, 4, 2, 7, 4, 5, 4, 6, 5
3, 5, 8, 10, 5, 7, 8, 7, 8, 9, 0, 7, 7, 8, 12, 4, 10, 6, 9, 5, 6, 9, 6, 8, 8, 6, 7, 8, 8, 7
6, 8, 7, 8, 8, 6, 5, 10, 6, 5, 3, 0, 6, 7, 11, 3, 10, 1, 10, 7, 9, 6, 5, 7, 3, 5, 9, 9, 8, 6
4, 3, 1, 6, 4, 1, 5, 7, 4, 3, 4, 1, 0, 3, 7, 4, 7, 2, 10, 6, 8, 4, 6, 2, 4, 5, 6, 7, 5, 5
