# N jobs:
10
# M tools:
30
# K slots:
10

List of jobs:
14, 3, 15, 12, 11, 9, 1, 8, 19, 17
24, 5, 22, 28, 23, 12
6, 23, 3, 24, 12, 11
8, 9, 12, 17, 2, 5, 19, 13
10
23, 7
0, 23, 24, 1, 17, 8, 20, 15, 5
24, 16, 18, 23, 20
20, 18, 17, 25, 7, 4, 16
22, 17, 0, 7, 16, 21, 14, 4

Setup costs:
0, 10, 7, 6, 9, 8, 6, 5, 3, 5, 4, 6, 7, 7, 10, 8, 8, 5, 7, 9, 6, 5, 4, 6, 3, 8, 7, 4, 6, 9
3, 0, 6, 7, 5, 5, 4, 5, 6, 2, 5, 5, 4, 6, 10, 5, 4, 6, 4, 2, 3, 4, 3, 6, 6, 3, 3, 3, 6, 1
4, 7, 0, 4, 7, 6, 6, 5, 7, 9, 2, 9, 4, 7, 5, 5, 4, 3, 6, 8, 4, 2, 7, 6, 7, 9, 3, 1, 5, 8
6, 8, 5, 0, 8, 8, 9, 8, 9, 10, 7, 11, 9, 9, 10, 10, 9, 8, 7, 10, 5, 3, 9, 7, 9, 11, 8, 6, 8, 9
3, 4, 7, 6, 0, 8, 2, 4, 5, 3, 4, 4, 2, 1, 7, 4, 6, 5, 4, 6, 4, 5, 2, 3, 5, 7, 2, 4, 5, 5
4, 7, 6, 4, 9, 0, 6, 1, 4, 5, 3, 3, 5, 3, 6, 5, 5, 4, 7, 6, 6, 4, 1, 2, 6, 9, 3, 5, 2, 6
3, 8, 5, 4, 7, 7, 0, 5, 3, 7, 3, 3, 1, 7, 10, 5, 7, 4, 2, 6, 4, 3, 1, 6, 3, 8, 6, 2, 5, 6
3, 6, 7, 3, 8, 8, 8, 0, 3, 4, 4, 5, 4, 2, 5, 4, 4, 3, 6, 8, 5, 5, 3, 1, 6, 8, 2, 4, 1, 7
7, 10, 9, 12, 6, 13, 8, 10, 0, 9, 10, 10, 8, 7, 13, 10, 5, 11, 10, 8, 9, 7, 8, 9, 10, 5, 8, 9, 4, 8
5, 8, 4, 7, 4, 8, 6, 7, 6, 0, 5, 8, 3, 4, 9, 7, 8, 6, 2, 6, 1, 6, 6, 7, 8, 11, 5, 5, 4, 5
4, 6, 3, 2, 6, 4, 4, 5, 7, 8, 0, 7, 3, 6, 8, 5, 7, 1, 5, 8, 3, 1, 5, 5, 5, 9, 3, 2, 3, 7
3, 8, 5, 3, 6, 6, 3, 6, 6, 8, 4, 0, 4, 7, 10, 6, 9, 2, 5, 3, 3, 3, 4, 6, 6, 10, 4, 3, 2, 7
2, 10, 6, 8, 6, 10, 8, 7, 5, 7, 6, 8, 0, 7, 9, 9, 10, 7, 5, 8, 3, 7, 6, 8, 5, 10, 7, 6, 6, 7
2, 9, 6, 5, 6, 7, 7, 3, 5, 2, 3, 4, 2, 0, 8, 3, 7, 4, 4, 6, 3, 4, 6, 4, 5, 7, 1, 5, 4, 5
8, 12, 10, 12, 9, 8, 11, 9, 11, 10, 11, 11, 6, 10, 0, 10, 7, 12, 11, 9, 9, 8, 9, 10, 11, 6, 9, 10, 10, 9
6, 9, 7, 2, 8, 10, 8, 3, 6, 5, 6, 8, 6, 5, 8, 0, 7, 6, 5, 5, 6, 5, 6, 4, 5, 11, 5, 6, 4, 4
7, 5, 7, 7, 7, 9, 9, 8, 7, 7, 8, 9, 7, 5, 11, 8, 0, 9, 6, 7, 4, 9, 8, 9, 10, 8, 6, 8, 7, 6
3, 7, 4, 1, 7, 8, 8, 4, 6, 7, 4, 7, 7, 5, 8, 4, 7, 0, 6, 8, 4, 2, 5, 4, 4, 8, 2, 1, 5, 8
7, 10, 8, 5, 11, 6, 12, 7, 10, 11, 8, 9, 11, 9, 11, 8, 11, 4, 0, 12, 8, 6, 7, 8, 8, 12, 6, 5, 4, 11
2, 7, 4, 5, 7, 7, 3, 3, 5, 7, 3, 3, 4, 5, 8, 3, 7, 4, 5, 0, 4, 2, 1, 4, 5, 9, 1, 1, 4, 6
5, 7, 3, 6, 3, 8, 5, 6, 7, 5, 4, 7, 5, 4, 8, 6, 7, 5, 2, 5, 0, 5, 5, 6, 8, 10, 4, 4, 3, 4
6, 5, 2, 6, 5, 6, 7, 5, 8, 7, 4, 9, 6, 6, 7, 7, 6, 5, 4, 7, 2, 0, 7, 6, 9, 8, 5, 3, 5, 6
5, 8, 5, 4, 8, 6, 5, 7, 8, 6, 2, 2, 5, 8, 10, 4, 6, 3, 7, 5, 5, 3, 0, 7, 7, 8, 5, 4, 4, 5
2, 7, 6, 3, 8, 8, 7, 6, 5, 4, 4, 4, 3, 7, 4, 6, 3, 2, 6, 7, 5, 4, 2, 0, 5, 10, 4, 3, 6, 7
5, 7, 4, 3, 7, 5, 5, 2, 5, 6, 1, 3, 4, 4, 7, 5, 6, 2, 6, 6, 4, 2, 1, 3, 0, 9, 4, 3, 3, 6
2, 6, 4, 8, 3, 8, 5, 6, 5, 4, 6, 6, 5, 4, 9, 6, 1, 7, 6, 3, 4, 2, 4, 6, 5, 0, 4, 4, 7, 3
1, 8, 5, 4, 8, 6, 6, 2, 4, 6, 2, 7, 5, 4, 7, 2, 6, 3, 7, 7, 5, 3, 5, 3, 4, 9, 0, 4, 3, 6
7, 6, 3, 7, 6, 7, 8, 6, 9, 8, 5, 10, 7, 7, 8, 8, 7, 6, 5, 7, 3, 1, 8, 7, 10, 9, 6, 0, 6, 7
9, 6, 9, 10, 9, 11, 10, 8, 11, 8, 10, 11, 10, 10, 13, 11, 10, 9, 8, 8, 6, 10, 9, 9, 12, 9, 9, 9, 0, 7
2, 8, 5, 6, 4, 6, 4, 4, 5, 1, 4, 4, 3, 5, 9, 4, 8, 5, 3, 1, 2, 3, 2, 5, 5, 10, 2, 2, 5, 0

# Name of the instance:
TI_Ins8_10_30_10
