# N jobs:
10
# M tools:
50
# K slots:
15

List of jobs:
46, 5, 31, 12, 1, 29, 28, 38, 24, 15, 27, 4, 3
16, 1, 17, 22, 47, 15
30, 28, 31, 10, 37, 48, 32, 22, 23, 16, 15, 40, 25, 7
12, 14, 5, 23, 24, 47, 3, 44, 8, 48, 11, 6, 31, 13
10, 40, 20, 46, 8, 0, 30, 9, 13, 24, 27, 48
37, 20, 1, 30, 41, 38, 13, 29, 28, 14, 45, 40, 24, 42, 8
1, 29, 48, 18, 12, 16, 6, 14, 46
24, 15, 19, 32, 34, 23, 2, 16, 41, 13, 12, 48, 46, 6
38, 11, 42, 20, 33, 2, 39, 14, 23, 12, 37, 36, 9, 18, 34
0, 13, 17, 5, 25, 48, 22, 18, 32, 33, 6, 28, 10, 20

Setup costs:
0, 3, 5, 6, 5, 6, 2, 2, 3, 4, 2, 4, 5, 3, 2, 4, 6, 4, 4, 5, 3, 3, 3, 2, 6, 2, 5, 4, 4, 2, 1, 5, 3, 5, 3, 4, 4, 4, 5, 6, 2, 4, 5, 1, 5, 4, 4, 5, 4, 4
5, 0, 6, 7, 5, 6, 5, 3, 6, 4, 5, 3, 6, 5, 3, 6, 8, 5, 5, 3, 4, 2, 6, 4, 5, 4, 4, 5, 6, 3, 5, 2, 2, 4, 4, 6, 5, 3, 4, 6, 6, 4, 6, 3, 5, 6, 3, 5, 7, 5
3, 5, 0, 7, 4, 4, 5, 4, 5, 5, 4, 2, 5, 6, 4, 2, 2, 6, 4, 5, 5, 5, 6, 4, 4, 4, 6, 5, 7, 3, 4, 4, 2, 5, 4, 2, 1, 5, 3, 6, 5, 6, 4, 4, 4, 5, 6, 3, 6, 5
3, 3, 6, 0, 3, 1, 5, 3, 6, 4, 4, 3, 2, 5, 3, 3, 8, 5, 5, 5, 4, 2, 5, 3, 2, 4, 5, 5, 7, 4, 4, 4, 3, 2, 4, 6, 5, 5, 4, 6, 3, 6, 3, 4, 6, 4, 3, 2, 5, 3
5, 3, 5, 8, 0, 2, 5, 6, 6, 4, 5, 4, 6, 6, 4, 4, 7, 3, 5, 5, 4, 5, 2, 3, 5, 5, 6, 4, 6, 5, 5, 4, 5, 2, 4, 6, 5, 3, 4, 7, 3, 6, 4, 5, 6, 5, 4, 3, 2, 3
3, 4, 7, 6, 3, 0, 5, 4, 6, 5, 4, 5, 4, 6, 2, 2, 8, 4, 4, 6, 5, 4, 5, 4, 3, 4, 4, 6, 7, 5, 4, 5, 4, 5, 5, 7, 5, 4, 5, 7, 2, 7, 2, 4, 5, 6, 5, 1, 5, 5
6, 4, 4, 8, 4, 4, 0, 5, 6, 3, 4, 3, 5, 3, 5, 5, 6, 4, 4, 4, 5, 4, 1, 4, 4, 5, 6, 5, 5, 4, 6, 3, 4, 3, 3, 6, 4, 2, 3, 6, 2, 5, 5, 4, 7, 6, 5, 4, 6, 4
4, 3, 3, 6, 3, 5, 3, 0, 4, 4, 2, 4, 5, 2, 2, 3, 5, 2, 4, 3, 1, 3, 4, 1, 4, 2, 5, 2, 4, 2, 3, 4, 3, 3, 3, 3, 2, 4, 5, 5, 3, 4, 5, 1, 4, 3, 3, 4, 4, 4
6, 3, 7, 6, 3, 5, 5, 4, 0, 4, 2, 5, 6, 6, 4, 5, 9, 5, 5, 6, 5, 3, 5, 4, 6, 4, 4, 6, 6, 4, 4, 5, 5, 4, 3, 6, 4, 4, 4, 5, 6, 7, 2, 3, 3, 6, 4, 5, 4, 5
4, 5, 6, 8, 2, 4, 3, 5, 3, 0, 5, 5, 6, 6, 5, 3, 8, 5, 7, 6, 4, 6, 4, 5, 5, 5, 5, 6, 7, 5, 5, 6, 5, 4, 3, 3, 4, 5, 6, 7, 5, 7, 3, 4, 5, 6, 6, 2, 4, 3
4, 1, 5, 6, 4, 5, 5, 2, 2, 2, 0, 3, 5, 4, 2, 3, 7, 3, 3, 4, 3, 1, 4, 3, 5, 4, 5, 4, 6, 4, 5, 3, 3, 5, 1, 5, 2, 4, 3, 6, 4, 5, 4, 3, 5, 4, 2, 3, 2, 5
