# N jobs:
20
# M tools:
40
# K slots:
10

List of jobs:
24, 5, 19, 28, 27, 1, 23, 8, 14, 3
18, 8, 3, 35, 19, 17, 30, 38, 25
29, 7, 6
33, 35, 20, 8, 13
16, 0, 26, 4, 18
28, 24, 13, 11, 27, 9, 26, 33, 22, 16
35, 31, 22, 0, 25, 8, 1, 11, 23
21, 10, 0, 20
18, 25, 9, 19, 10, 12, 11, 4, 33
0, 19, 34, 29
29, 17, 18, 14, 4, 15, 32, 22
5, 31, 17, 18
37, 9, 35, 18, 2, 23, 20, 25, 5
10, 30, 20, 3, 38, 0, 25, 19, 32, 5
11, 32, 22
28, 32, 35, 29, 36, 8
25, 7, 19, 12, 31, 28, 26, 35, 38, 23
7, 21, 0, 25, 10, 30, 18
33, 23
32, 19, 1

Setup costs:
0, 5, 4, 2, 2, 7, 4, 6, 3, 3, 3, 2, 4, 1, 4, 5, 5, 3, 5, 4, 4, 4, 4, 4, 3, 6, 1, 3, 4, 2, 5, 3, 4, 3, 2, 3, 2, 5, 2, 3
7, 0, 5, 3, 7, 8, 5, 1, 4, 5, 5, 4, 5, 3, 6, 5, 6, 5, 7, 2, 3, 6, 4, 6, 3, 6, 6, 3, 5, 3, 6, 5, 5, 5, 2, 5, 4, 5, 4, 5
5, 5, 0, 5, 5, 7, 7, 6, 3, 1, 4, 2, 6, 5, 6, 4, 6, 4, 5, 5, 2, 3, 5, 4, 4, 5, 6, 4, 5, 4, 6, 4, 4, 6, 6, 3, 3, 5, 6, 3
5, 4, 2, 0, 6, 5, 2, 5, 4, 3, 5, 2, 5, 3, 5, 5, 6, 5, 6, 4, 3, 4, 3, 5, 4, 5, 4, 4, 4, 3, 5, 6, 5, 4, 2, 3, 5, 5, 4, 3
6, 4, 3, 1, 0, 6, 3, 5, 4, 3, 5, 3, 4, 4, 3, 3, 3, 1, 3, 2, 3, 2, 3, 2, 3, 4, 2, 3, 4, 4, 5, 2, 4, 1, 3, 4, 4, 5, 5, 4
6, 3, 4, 2, 5, 0, 3, 4, 3, 4, 4, 4, 6, 3, 5, 4, 5, 4, 5, 1, 2, 5, 5, 4, 2, 5, 4, 2, 4, 5, 6, 4, 4, 3, 4, 4, 3, 4, 4, 4
3, 6, 4, 3, 4, 5, 0, 7, 2, 4, 5, 4, 4, 4, 3, 3, 4, 3, 5, 4, 1, 4, 5, 6, 3, 3, 4, 3, 4, 2, 4, 4, 3, 5, 5, 5, 4, 3, 5, 1
7, 4, 5, 3, 7, 8, 5, 0, 3, 5, 5, 5, 5, 4, 6, 5, 6, 4, 7, 2, 3, 6, 6, 7, 3, 6, 7, 3, 5, 6, 7, 5, 5, 6, 5, 5, 4, 5, 5, 5
4, 4, 5, 3, 4, 6, 5, 5, 0, 5, 5, 4, 5, 4, 3, 5, 3, 1, 5, 2, 3, 5, 3, 5, 3, 6, 5, 1, 4, 3, 5, 2, 4, 4, 5, 5, 4, 5, 3, 2
6, 6, 7, 5, 4, 8, 6, 7, 2, 0, 5, 5, 5, 4, 5, 3, 5, 3, 4, 4, 1, 2, 5, 3, 3, 5, 6, 3, 4, 5, 5, 4, 3, 5, 5, 5, 4, 4, 5, 4
6, 5, 5, 3, 5, 8, 3, 4, 4, 3, 0, 4, 4, 5, 4, 5, 4, 2, 6, 3, 3, 5, 4, 6, 4, 3, 6, 2, 1, 5, 6, 3, 1, 5, 5, 5, 5, 4, 4, 4
3, 3, 3, 3, 5, 5, 5, 4, 3, 1, 5, 0, 4, 4, 6, 4, 6, 4, 5, 5, 2, 2, 5, 4, 3, 6, 4, 3, 5, 2, 6, 4, 4, 6, 5, 1, 4, 5, 5, 1
6, 5, 6, 4, 4, 8, 3, 4, 3, 3, 5, 3, 0, 5, 4, 6, 4, 2, 4, 3, 4, 5, 4, 6, 4, 5, 6, 3, 1, 5, 3, 3, 5, 5, 5, 4, 4, 4, 4, 4
4, 4, 4, 4, 4, 6, 6, 5, 4, 2, 5, 1, 5, 0, 3, 5, 7, 5, 6, 6, 3, 3, 6, 5, 4, 6, 5, 2, 5, 3, 4, 5, 4, 5, 6, 2, 4, 6, 1, 2
5, 4, 3, 2, 1, 7, 4, 4, 4, 3, 2, 2, 5, 1, 0, 4, 4, 2, 4, 3, 4, 3, 3, 3, 4, 3, 3, 2, 2, 4, 5, 2, 1, 2, 4, 2, 1, 5, 2, 3
7, 3, 4, 5, 7, 9, 5, 4, 6, 5, 4, 4, 7, 3, 6, 0, 5, 6, 6, 5, 6, 5, 5, 7, 2, 5, 7, 5, 5, 5, 7, 4, 5, 6, 4, 4, 3, 4, 4, 5
7, 6, 7, 6, 8, 9, 6, 7, 7, 6, 3, 7, 7, 6, 7, 3, 0, 5, 9, 6, 6, 6, 7, 9, 5, 6, 8, 5, 4, 6, 4, 6, 4, 8, 7, 7, 6, 7, 7, 5
6, 3, 4, 2, 3, 7, 4, 4, 3, 4, 4, 3, 5, 3, 2, 4, 2, 0, 4, 1, 2, 5, 2, 4, 2, 5, 4, 2, 3, 3, 4, 1, 3, 3, 4, 4, 3, 4, 4, 4
